country,country_code,currency_code,reference_profile_id,reference_profile_description,harmonized_wage_point_intl_usd,ppp_factor_lcu_per_intl_usd,gross_monthly_local,gross_monthly_intl_usd,employee_contributions_monthly_local,employee_contributions_monthly_intl_usd,employer_contributions_monthly_local,employer_contributions_monthly_intl_usd,net_before_income_tax_monthly_local,net_before_income_tax_monthly_intl_usd,income_tax_or_withholding_tax_monthly_local,income_tax_or_withholding_tax_monthly_intl_usd,net_after_income_tax_monthly_local,net_after_income_tax_monthly_intl_usd,employer_cost_monthly_local,employer_cost_monthly_intl_usd,social_wedge_before_income_tax_rate,total_wedge_after_income_tax_rate,cost_to_net_before_income_tax_ratio,cost_to_net_after_income_tax_ratio,income_tax_modeled,aggregation_method,below_minimum_wage,national_minimum_wage_monthly_local,note,flcl_e_before_income_tax
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",10500.0,1.107209,11625.69,10500.0,1151.3,1039.82,1069.92,966.32,10474.39,9460.17,1770.05,1598.66,8704.34,7861.51,12695.61,11466.32,0.17496,0.314382,1.212062,1.458539,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",82.50397686441683
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",10500.0,0.74195,7790.48,10500.0,0.0,0.0,1223.56,1649.12,7790.48,10500.0,2803.37,3778.38,4987.1,6721.62,9014.04,12149.12,0.13574,0.44674,1.157059,1.807469,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",86.42601274824843
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",10500.0,0.682739,7168.76,10500.0,494.39,724.13,1122.89,1644.68,6674.37,9775.87,1763.41,2582.85,4910.96,7193.02,8291.65,12144.68,0.195049,0.407722,1.242312,1.688397,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",80.49508097372677
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",10500.0,0.88195,9260.48,10500.0,388.96,441.02,1041.82,1181.27,8871.51,10058.98,3047.59,3455.51,5823.93,6603.46,10302.3,11681.27,0.13888,0.434696,1.161278,1.768961,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11204089966245
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",10500.0,0.588481,6179.05,10500.0,331.58,563.45,1614.53,2743.56,5847.47,9936.55,1706.91,2900.53,4140.56,7036.01,7793.58,13243.56,0.249707,0.468722,1.332812,1.882252,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",75.02929725844108
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",11000.0,0.716934,7886.27,10999.99,1630.31,2274.01,3415.96,4764.68,6255.96,8725.99,1180.67,1646.83,5075.29,7079.16,11302.23,15764.68,0.446485,0.550948,1.806635,2.226913,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.351519980107426
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",11000.0,0.701547,7717.02,11000.0,1466.1,2089.81,1431.22,2040.1,6250.92,8910.19,1703.29,2427.91,4547.63,6482.29,9148.24,13040.1,0.316708,0.502896,1.463503,2.01165,True,single_reference_profile,False,2409.33,,68.3291539175313
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,11000.0,0.752163,8273.79,11000.0,1081.38,1437.7,2068.45,2750.0,7192.41,9562.3,2745.71,3650.42,4446.7,5911.88,10342.24,13750.0,0.30456,0.570045,1.437939,2.325825,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",11000.0,1.107209,12179.3,11000.0,1193.38,1077.83,1108.12,1000.82,10985.92,9922.17,1914.95,1729.53,9070.97,8192.64,13287.42,12000.82,0.173209,0.317327,1.209495,1.46483,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",82.67910026148213
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",11000.0,0.74195,8161.45,11000.0,0.0,0.0,1223.56,1649.12,8161.45,11000.0,3011.16,4058.44,5150.29,6941.56,9385.01,12649.12,0.130374,0.451222,1.14992,1.82223,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",86.96257130930847
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",11000.0,0.682739,7510.13,11000.0,501.21,734.12,1174.1,1719.69,7008.92,10265.88,1901.33,2784.85,5107.59,7481.03,8684.23,12719.69,0.192914,0.411854,1.239025,1.700259,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",80.70857072774571
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",11000.0,0.88195,9701.45,11000.0,407.46,462.0,1091.44,1237.53,9293.99,10538.0,3259.24,3695.49,6034.75,6842.51,10792.89,12237.53,0.138878,0.440859,1.161276,1.788457,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11214844825712
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",11000.0,0.588481,6473.29,11000.0,331.58,563.45,1614.53,2743.56,6141.71,10436.55,1838.69,3124.48,4303.02,7312.07,8087.82,13743.56,0.240622,0.467963,1.316868,1.87957,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",75.93774829811198
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",11500.0,0.716934,8244.74,11500.0,1701.25,2372.96,3570.16,4979.76,6543.49,9127.04,1261.06,1758.96,5282.43,7368.08,11814.9,16479.76,0.446167,0.552901,1.805598,2.236642,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.38333082520621
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",11500.0,0.701547,8067.79,11500.0,1503.28,2142.81,1468.4,2093.1,6564.51,9357.19,1852.76,2640.96,4711.75,6716.23,9536.2,13593.1,0.311622,0.505909,1.452689,2.023917,True,single_reference_profile,False,2409.33,,68.83779270365112
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,11500.0,0.752163,8649.87,11500.0,1130.54,1503.05,2162.47,2875.0,7519.34,9996.95,2920.61,3882.95,4598.73,6114.0,10812.34,14375.0,0.30456,0.574678,1.437939,2.351161,True,single_reference_profile,False,2189.81,,69.54400000000001
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",11500.0,1.107209,12732.9,11500.0,1226.64,1107.87,1140.19,1029.79,11506.26,10392.13,2067.68,1867.47,9438.58,8524.66,13873.09,12529.78,0.170606,0.319649,1.205699,1.469829,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",82.93944506607457
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",11500.0,0.74195,8532.42,11500.0,0.0,0.0,1223.56,1649.12,8532.42,11500.0,3218.94,4338.49,5313.48,7161.51,9755.99,13149.12,0.125416,0.455362,1.143401,1.83608,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",87.45832420724733
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",11500.0,0.682739,7851.5,11500.0,508.04,744.12,1225.31,1794.7,7343.46,10755.88,2039.23,2986.84,5304.22,7769.04,9076.81,13294.7,0.190965,0.415629,1.23604,1.711242,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",80.90351794324053
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",11500.0,0.88195,10142.42,11500.0,425.97,482.99,1141.01,1293.74,9716.45,11017.01,3470.92,3935.51,6245.53,7081.51,11283.43,12793.74,0.138874,0.446486,1.161271,1.80664,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11250502198732
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",11500.0,0.588481,6767.53,11500.0,331.58,563.45,1614.53,2743.56,6435.95,10936.55,1971.1,3349.47,4464.85,7587.08,8382.06,14243.56,0.232176,0.467333,1.302381,1.877344,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",76.78241956364842
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",12000.0,0.716934,8603.21,12000.0,1772.2,2471.91,3724.36,5194.85,6831.01,9528.09,1341.45,1871.09,5489.57,7657.0,12327.57,17194.85,0.445875,0.554692,1.804647,2.245637,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.41246361555932
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",12000.0,0.701547,8418.56,12000.0,1540.46,2195.81,1505.59,2146.1,6878.1,9804.19,2002.34,2854.18,4875.76,6950.02,9924.15,14146.1,0.306933,0.508697,1.442862,2.035405,True,single_reference_profile,False,2409.33,,69.30666402754116
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,12000.0,0.752163,9025.96,12000.0,1179.69,1568.4,2256.49,3000.0,7846.26,10431.6,3095.52,4115.49,4750.74,6316.11,11282.44,15000.0,0.30456,0.578926,1.437939,2.37488,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",12000.0,1.107209,13286.51,12000.0,1255.99,1134.37,1169.54,1056.3,12030.52,10865.63,2220.38,2005.38,9810.14,8860.25,14456.05,13056.3,0.167786,0.321381,1.201615,1.473582,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",83.22135673965825
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",12000.0,0.74195,8903.4,12000.0,0.0,0.0,1223.56,1649.12,8903.4,12000.0,3426.72,4618.53,5476.68,7381.47,10126.96,13649.12,0.120822,0.459198,1.137426,1.849106,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",87.9177558699755
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",12000.0,0.682739,8192.87,12000.0,514.87,754.12,1276.51,1869.69,7678.0,11245.88,2177.15,3188.85,5500.85,8057.03,9469.38,13869.69,0.189176,0.419091,1.233313,1.72144,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",81.08241784783942
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",12000.0,0.88195,10583.4,12000.0,444.51,504.01,1190.63,1350.0,10138.89,11495.99,3682.58,4175.5,6456.31,7320.49,11774.03,13350.0,0.138877,0.451648,1.161274,1.823647,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11228464419476
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",12000.0,0.588481,7061.77,12000.0,331.58,563.45,1614.53,2743.56,6730.19,11436.55,2103.55,3574.54,4626.64,7862.01,8676.3,14743.56,0.224302,0.46675,1.289161,1.875292,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",77.5697999669008
